hd-no.,transcription,region,country,ancient find spot,modern find spot,type of monument,type of inscription,material,lat,long,period from,period to,from_num,to_num
HD023476,[---]Î¿Î½Î±Ï á½ÏÏÎ¹Ï / [---] á¼ÏÎµÎ¹ // Quod neque conatus quisquanst neque [adhuc? meditatus?] / noscite rem ut famaa facta feramus virei / auspicio [[An[t]on[i] Ma[r]c]]i proconsule classis / Isthmum traductast missaque per pelagus / ipse iter eire profectus Sidam classem Hirrus Atheneis / pro praetore anni e tempore constituit / lucibus haec paucis parvo perfecta tumultu / magna [ac qu]om ratione atque salut[e simul] / q[u]ei probus est lauda[t] quei contra est inv[idet illum] / invid[ea]nt dum q[uos cond]ecet id v[ideant],Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,block,Unknown,Unknown,37.939865,22.928467,100 BC , 30 BC,-100.0,-30.0
HD023503,[Nep]tuno [et Ma]rt[i Imp(erator) Caesa]r Div[i Iuli] f(ilius) vict[oriam ma]rit[imam consecutus bell]o quod pro [re pu]blic[a] ges[si]t in hac region[e c]astra [ex] quibu[s ad hostem in]seq[uendum egr]essu[s est spoli]is [ornat]a [dedicavit cons]ul [quintum i]mperat[or se]ptimum pace [---] parta terra [marique],Epirus,Greece,Nicopolis,NikÃ³polis,block,votive inscription,Unknown,39.02764744,20.735535621,29 BC,Unknown,-29.0,60.0
HD023662,D(is) M(anibus) s(acrum) / Aeliae Eu/posiae q(uae) v(ixit) / ann(os) XXXV / C(aius) Vincius / Eutychius Aug(ustalis) / uxori optimae / et sibi vivus posuit / in fron[te] p(edes) XXX / in agro p(edes) XXXX,Macedonia,Albania,Dyrrachium,DurrÃ«s,altar,epitaph,Stone,41.3123828,19.445180199,101 AD , 150 AD,101.0,150.0
HD023998,[Imp(erator) Ca]esair(!) divi (H)adri/[ani] filius divi Traia/{aia}ni nepos divi Nerva/e pronepos Titus Ael[ius] / (H)adrianus Antoninus / Aug(ustus) Pius p(ontifex) m(aximus) tribu/niciae potestatis IIII / [imp(erator)] I co(n)s(ul) III p(ater) p(atriae) // á½ÏÎ±ÏÎ±á¿Î¿Î¹,Macedonia,Greece,Thaumakoi,Dhomokos,milestone,milestone,Unknown,39.126553999,22.321995999,140 AD , 141 AD,140.0,141.0
HD023999,Imp(eratore) Com(modo) Aug(usto) / coh(ors) XXXII vol(untariorum) / |(centuria) Victo(---) Dasius / Masuri,Germania superior,Germany,Unknown,Bad Homburg,tessera,owner/artist inscription,Metals,50.2725421,8.5670024156,180 AD , 192 AD,180.0,192.0
HD024204,[Impp(eratores) Caess(ares) C(aius) Aur(elius) Val(erius) D]iocletianus / [et M(arcus) Aur(elius) Val(erius) Maximianu]s PP(ii) FF(elices) Invict[i] / [Augg(usti) et Fl(avius) Val(erius) Constanti]us et Gal(erius) Val(erius) / [Maximianus nobilissimi] Caess(ares) German(ici) / [max(imi) V Sarmat(ici) max(imi) III]I Gothici max(imi) / [Brittan(ici) max(imi) post debella]tas hosti(u)m / [gentes confirmata orbi su]o tr[anquil]/[litate profuturum in aeternum rei publicae praesi]/[dium constituerunt],Moesia inferior,Bulgaria,Durostorum,Silistra,tabula,honorific inscription,Unknown,44.1211085,27.271496299,293 AD , 305 AD,293.0,305.0
HD024225,Imp(eratore) Caesare / Divi f(ilio) Aug(usto) / L(ucio) Tario Ruf(o) pr(o)c(onsule) / pr(ovinciae) / leg(io) X fret(ensis) / pontem fecit,Macedonia,Greece,Amphipolis,AmfÃ­polis,tabula,building/dedicatory inscription,Unknown,40.823596999,23.846564999,30 BC , 14 AD,-30.0,14.0
HD024412,D(is) M(anibus) / Diadumeno / alumno ver/nae delicato / suo ann(orum) XVI / Felicionis lib(erti) / sui filio / M(arcus) Ulpius Van/nius |(centurio) leg(ionis) VIII / Aug(ustae) patronus fec(it) / h(oc) m(onumentum) h(eredem) n(on) s(equetur),Germania superior,Germany,Civitas Auderiensium,Obernburg,stele,epitaph,Stone,49.845296583,9.1497098207,101 AD , 170 AD,101.0,170.0
HD024528,Imp(erator) Caesar / Divi f(ilius) / Aug[u]stus / CXIII,Macedonia,Greece,Larissa,Larisa,milestone,milestone,Unknown,39.63722,22.42028,30 BC , 14 AD,-30.0,14.0
HD024570,Epaphroditus Novi / ungentarius de sa/cra via hic fuit / K(alendis) Oct(obribus) quo anno / L(ucius) Cornuficius / Sex(tus) Pompei/us co(n)s(ules) fue/runt,Epirus,Greece,Ithaca,IthÃ¡ki,tessera,votive inscription,Stone,38.36421,20.71848,1. 10. 35 BC,Unknown,-1.0,34.0
HD024757,Ti(beri) Claudi Caesar(is) / Aug(usti) Germanici / procuratori / C(aio) Iulio C(ai) f(ilio) Fab(ia) Laconi / augur(i) agonothet(ae) / Isthm(ion) et Caesareon / IIvir(o) quinq(uennali) cur(ioni) fla(mini) Aug(usti) / Cydichus Simonis / Thisbeus b(ene) m(erenti),Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,base,honorific inscription,Unknown,37.939865,22.928467,42 AD , 54 AD,42.0,54.0
HD024760,C(aio) Iulio Laconis f(ilio) / Euryclis n(epoti) Fab(ia) Spartiati(co) / [p]rocuratori Caesaris et Augustae / Agrippinae trib(uno) mil(itum) equo p(ublico) / [ex]ornato a divo Claudio flam(ini) / divi Iuli pontif(ici) IIvir(o) quinq(uennali) iter(um) / agonothet(a)e Isthmion et Caese(reon)(!) / [S]ebasteon archieri domus Aug(ustae) / [in] perpetuum primo Achaeon / ob v[i]rtutem eius et animosam / f[usi]ss[im]amque erga domum / divinam et erga coloniam nostr(am) / munificentiam tribules / tribu Calpurnia / [pa]trono,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,base,honorific inscription,Unknown,37.939865,22.928467,55 AD , 100 AD,55.0,100.0
HD024858,D(is) M(anibus) // hic iacet ecce vides pupa sine fine decoris qu(a)e mihi // tam subito rapta est neque adhuc credere possi(m) / non e&lt;g=C&gt;o tam modica potui maculare pare/ntem Cassia sum vocita iace&lt;o=T&gt; sub saxo recl/usa IIII an(nos) vixi et menses V tu quidem quem re/citas a{b}latu[--] pietate parentis quisquis es vale ,Pannonia inferior,Hungary,Aquincum,Budapest,sarcophagus,epitaph,Stone,47.5396,19.031171,301 AD , 330 AD,301.0,330.0
HD025024,Tiberio Ant[oniae ---] / Caesari Augu[stae ---] / genti Augustae [---],Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,tabula,honorific inscription,Unknown,37.939865,22.928467,4. 37 AD,Unknown,4.0,240.0
HD025135,------ fili]o / [--- infelicis]sim(a) mater / [aetatis pr]imo qui mihi flore / peri(i)t percussus cornu bubus / dum pabula ponit / ad quem dum curro dum(!) miser ante(!) peri(i)t / infelixs(!) genetrix Diti tria funera duxsi(!) / lugebam natas cum mihi natus obi(i)t / quod superest matri saltem concedite / Manes / ut sint qui voltus post mea fata premant / M(arci) Octavi Pulli f(ili) Rufi,Dalmatia,Croatia,Solentia,Å olta,stele,epitaph,Unknown,43.392216133,16.287517548,51 AD , 150 AD,51.0,150.0
HD025182,Cn(aeus) Cornelius / Cladus I(sidi) v(otum) s(olvit),Sardinia,Italy,Turris Libisonis,Porto Torres,Unknown,Unknown,Unknown,40.834537,8.41,Unknown,Unknown,276.0,375.0
HD025189,Pedatura milit/um lanciariu/m iuniorum,Moesia inferior,Romania,Ulmetum,Pantelimon,tabula,building/dedicatory inscription,Unknown,44.546930135,28.341712519,501 AD , 600 AD,501.0,600.0
HD025192,D(is) M(anibus) / Val(erius) Victorinus / biarc(h)us qui militavi[t] / in sacro palatio ann(os) VII[---] / vix(it) ann(os) XL qui [i]n proe[li]/o Roamnorum(!) Calc(h)ed[o]/nia contra a(d)versarios / decessit honoris grati[a] / sanxit ut perpetuo se ho/norari sive honesta re/liquiaru[m] sepultur[a] / consecr[ar]i videatu[r] / hu&lt;h&gt;ic Ma[t]rona coni[ux] / pientissima viva s[e]/ [sibi] et bene meren/[ti] conpari suo mem/oriam posuit,Moesia inferior,Romania,Ulmetum,Pantelimon,stele,epitaph,Stone,44.54730323,28.342655777,324 AD,Unknown,324.0,351.0
HD025236,C(aio) Caristanio / [C(ai) f(ilio) Ser(gia) I]uliano proco(n)s(uli) / [trib(uno) mil(itum) leg(ionis) XI]I fu[l]m(inatae) pr(aefecto) [a]lae / [--- in]ter(?) c[iv]is / et [---]inos et in[ter] / per[egr]inos le[g(ato) pr]o pr(aetore) provinc(iae) / [---]ae,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,block,honorific inscription,Unknown,37.939865,22.928467,97 AD , 102 AD,97.0,102.0
HD025239,C(aio) Rutilio L(uci) f(ilio) / Aem(ilia) Fusco isagogi / Tibereon Claudieon / Caesa[reon Seba]steon / [agonothetae L(uci)] Rutili / L(uci) f(ilii) [--- p]atris / [------?,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,block,honorific inscription,Unknown,37.939865,22.928467,Unknown,Unknown,74.0,101.0
HD025747,------] / Blandu[s] / Sing(i?)be/r(t?)i f(ilius) eq(ues) / ala(e) Bos(poranorum) / nat(ione) U&lt;b=F&gt;ius / h(ic) s(itus) e(st) / fratri LI / fac(iendum) cur(avit) ,Moesia inferior,Bulgaria,Securisca,Nikopol,stele,epitaph,Stone,43.7030341,24.8343899,51 AD , 100 AD,51.0,100.0
HD025936,C(aium) Iulium Iuli Quadrati / [f(ilium) F]ab(ia) Severum pr(aetorem) leg(atum) / pro pr(aetore) prov(inciae) Asiae leg(atum) leg(ionis) / IIII Scythicae proco(n)s(ulem) prov(inciae) / Ach(aiae) curionem patronum / ob iustitiam et sanctitatem / [L(ucius)?] Marius Piso q(uaestor) et praet(or) / [hu]ic sponte sua cum LL(uciis) / Mariis Floro Stlacciano / et Pisoni Resiano libe/ris suis / pro tribu Maneia / d(ecreto) d(ecurionum),Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,base,honorific inscription,Unknown,37.939865,22.928467,135 AD,Unknown,135.0,80.33333333333333
HD025939,T(ito) Manlio / T(iti) f(ilio) Col(lina) Iuvenco / aed(ili) praef(ecto) i(ure) d(icundo) / IIvir(o) pontif(ici) / agonothet(ae) Isthm(ion) / et Caesareon / qui primus Caesa/rea egit ante Isthmia / Hieromnemon(es),Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,tabula,honorific inscription,Unknown,37.939865,22.928467,35 AD,Unknown,35.0,60.666666666666664
HD025942,P(ublio) Memm[io P(ubli) f(ilio)] / Regulo [VIIviro] / epul(onum) sodali [August(ali)?] / fratri Arvali [leg(ato) C(ai)] / Caesaris Augu[st]i G[ermanici] / pro[v(inciae) Achaiae] / [---]DI[---] / [---],Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,tabula,honorific inscription,Unknown,37.939865,22.928467,37 AD , 41 AD,37.0,41.0
HD025945,L(ucio) Papio L(uci) f(ilio) / Fal(erna) Luperco / aed(ili) et IIvir(o) et / agonothetic(o) et / quinq(uennaliciis) ornamen[t(is)] / ornato d(ecreto) d(ecurionum) / Papia L(uci) f(ilia) Donati uxo[r] / Methe avia,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,base,honorific inscription,Unknown,37.939865,22.928467,Unknown,Unknown,100.33333333333334,105.66666666666667
HD025948,Callicrateae / Philesi fil(iae) / sacerdoti in perpet(uum) / Providentiae Aug(ustae) / et Salutis publicae / tribules tribus Agripp[i]ae / bene meritae,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,base,honorific inscription,Unknown,37.939865,22.928467,Unknown,Unknown,163.66666666666669,170.33333333333334
HD025950,[[[Iuliae Mamaeae sanctissimae? Augustae matri]]] Aug(usti) n(ostri) et castrorum / [---ib]us ac superficiis permissu kalatorum pontificum / [--- et M]aximo co(n)s(ulibus) a solo coeptum exornavit dedicavitque cum / [---]ta coniuge sua itemque fili(i)s tunc constituerat,Roma,Italy,Roma,Roma,tabula,honorific inscription,Unknown,41.895466,12.482324,227 AD , 235 AD,227.0,235.0
HD025951,Nemesi Augustae / sacrum / Aurelius Nestor optio / leg(ionis) IIII Fl(aviae) fel(icis) ex voto,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,block,votive inscription,Unknown,37.939865,22.928467,101 AD , 150 AD,101.0,150.0
HD025954,[Dianae] Paci Lucife/[rae Aug]ustae sacrum / [pro salut]e Ti(beri) Caesaris / P(ublius) Licinius P(ubli) l(ibertus) / [---] Philosebastos / [d(e) s(ua)] p(ecunia) f(aciendum) c(uravit),Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,base,votive inscription,Unknown,37.939865,22.928467,Unknown,Unknown,67.66666666666666,150.0
HD025957,------]nique genio[---] / [---]rum L(audis) I(uliae) C(orinthi) sacrum A[---] / [or]nament(is) decurion(alibus) [------,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,tabula,votive inscription,Unknown,37.939865,22.928467,Unknown,Unknown,34.33333333333333,150.0
HD026029,Epicado monom[acho] / have am[ice],Macedonia,Albania,Byllis,Hekal,tabula,epitaph,Stone,40.550001,19.733353,1 AD , 150 AD,1.0,150.0
HD026032,Caecilia L(uci) f(ilia) / Venusta Byllid(ensis) / cum Lartidio Naisso / marito suo hic sita est / cum quo annis XXXXII / sine querella sanctissime vixit,Macedonia,Albania,Byllis,Hekal,tabula,epitaph,Stone,40.550001,19.733353,51 AD , 200 AD,51.0,200.0
HD026035,Q(uinto) Paesidio C(ai) f(ilio) / Aem(ilia) Macedoni / prim(o) pil(o) leg(ionis) IX Hisp(anae) / praef(ecto) castror(um) leg(ionis) IV / Scythic(ae) trib(uno) milit(um) leg(ionis) / eiusdem auguri / flamini Neronis Claudii Caesaris Aug(usti) / Germanici,Macedonia,Albania,Dyrrachium,DurrÃ«s,tabula,honorific inscription,Stone,41.3123828,19.445180199,54 AD , 66 AD,54.0,66.0
HD026238,Ti(berio) Claudio P(ubli) f(ilio) Fab(ia) Dinippo / IIvir(o) IIvir(o) quinq(uennali) augur(i) / sacerdoti Victoriae / Britann(icae) trib(uno) mil(itum) leg(ionis) VI / annonae curatori / agonothet(a)e Neroneon / Caesareon et Isthmion / et Caesareon tribules / tribus Atiae,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,block,Unknown,Unknown,37.939865,22.928467,54 AD , 68 AD,54.0,68.0
HD026241,Ti(berio) Claudio P(ubli) f(ilio) [Fab(ia)] / Dinippo IIvir(o) [IIvir(o)] / quinq(uennali) augur(i) [sacerd(oti)] / Victoriae Brit[annicae trib(uno)] / mil(itum) leg(ionis) VI Hisp(aniae) [---] / praef(ecto) fabr(um) III AN(?)[---] / agonothet(a)e Ne[roneon Cae]/sareon et Isthm[ion] / tribules tr[ibus Atiae?],Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,block,honorific inscription,Unknown,37.939865,22.928467,54 AD , 68 AD,54.0,68.0
HD026332,[Impera]to[ri] C[a]e[sari] / [M(arco) A]urelio Anto/[ni]n[o Aug(usto)] / [po]nti(fici) maximo [trib(unicia)] / [pot(estate) XI]X imp(eratori) III co(n)s(uli) III p(atri) p(atriae) / et [Imp(eratori)] / [Caesar]i L(ucio) Aurelio Vero [Aug(usto) pon]/[tifi]ci ma[x]imo trib(unicia) po[t(estate) V] / [im]p(eratori) III co(n)s(uli) II p(atri) p(atriae) divi Ant[onini] / [fil]iis divi Hadriani nep[potibus divi] / [Traia]ni Parthici pronepo[tibus divi] [Nerv]ae abnep[otibus ---] // á¼Î³Î±Î¸á¿ Ï[á½»Ïá¿] / ÏÎ¿á½ºÏ Î¼ÎµÎ³á½·ÏÏÎ¿ÏÏ / ÎºÎ±á½¶ Î¸Î¹Î¿Ïá½±ÏÎ¿ÏÏ / Îá½ÏÎ¿ÎºÏÎ±Ïá½¹ÏÎ¿ÏÏ / Î¦Î»(á½±Î²Î¹Î¿Î½) Îá½Î±Î»(á½³ÏÎ¹Î¿Î½) ÎÏÎ½ÏÏá½±Î½[ÏÎ¹Î¿Î½] / ÎºÎ±á½¶ ÎÎ±Î»(á½³ÏÎ¹Î¿Î½) Îá½Î±Î»(á½³ÏÎ¹Î¿Î½) / ÎÎ±Î¾Î¹Î¼Î¹Î±Î½á½¸Î½ / Î£ÎµÎ²(Î±ÏÏÎ¿á½ºÏ) ÎºÎ±á½¶ ÏÎ¿á½ºÏ á¼[ÏÎ¹]/ÏÎ±Î½ÎµÏÏá½±ÏÎ¿ÏÏ / ÎÎ±á½·ÏÎ±ÏÎ±Ï Î¦Î»(á½±Î²Î¹Î¿Î½) Îá½/Î±Î»(á½³ÏÎ¹Î¿Î½) Î£ÎµÎ¿Ïá¿ÏÎ¿Î½ ÎºÎ±á½¶ ÎÎ±Î»(á½³ÏÎ¹Î¿Î½) / Îá½Î±Î»(á½³ÏÎ¹Î¿Î½) ÎÎ±Î¾Î¹Î¼á¿Î½[Î¿Î½] / á¼¡ Ïá½¹Î»Î¹Ï Îµá½ÏÏÏá¿¶[Ï],Macedonia,Greece,Edessa,Ãdhessa,milestone,milestone,Unknown,40.796917509,22.057757377,166 AD,Unknown,166.0,134.0
HD026347,[---] Vale(rio) M[u]cian(o) / [IIv]iro sacerd(oti) Vint(iensis) / flam(ini) et patrono prov(inciae) / Alp(ium) marit(imarum) Valeria / [Muci]ana patri meren(tissimo),Alpes Maritimae,France,Vintium,Vence,urn,epitaph,Stone,43.7226411,7.1122675999,101 AD , 200 AD,101.0,200.0
HD026400,Iovi O(ptimo) M(aximo) / L(ucius) Domitius / Paullus,Macedonia,Greece,Pydna,KÃ­tros,altar,votive inscription,Unknown,40.37556,22.57833,1 AD , 200 AD,1.0,200.0
HD026434,Votu(m) Silvano V(?)M(?) Vi[atori? ---],Pannonia superior,Hungary,Brigetio,KomÃ¡rom,jewellery,votive inscription,Metals,47.730848187,18.183799982,301 AD , 400 AD,301.0,400.0
HD026601,[L(ucio) A]quillio C(ai) f(ilio) Pom(ptina) / [Fl]oro Turciano Gallo / [Xvir(o)] stlitib(us) iud(icandis) trib(uno) milit(um) leg(ionis) VIIII Mac(edonicae) / [proq]uaest(ori) Cypro(!) ex auctoritate Aug(usti) / [tr(ibuno) pl(ebis)] pr(aetori) proco(n)s(uli) provinciae Ach[ai(ae)] / [---]ti Ti(berius) Claudi(us) Anaxilas et / [--- II]vir(i) quinq(uennalis) sua pecunia,Achaia,Greece,Colonia Laus Iulia Corinthus,Peirene,statue base,honorific inscription,Unknown,37.9386365,22.9322383,52 AD , 53 AD,52.0,53.0
HD026604,M(arco) Agrippae co(n)s(uli) / tert(io) trib(unicia) potest(ate) / d(ecreto) d(ecurionum) tribus Vinicia / patrono,Achaia,Greece,Colonia Laus Iulia Corinthus,Peirene,block,honorific inscription,Unknown,37.9386365,22.9322383,16 BC , 12 BC,-16.0,-12.0
HD026607,Cn(aeus) Babbius Philinus aed(ilis) pontif(ex) / [d(e)] s(ua) p(ecunia) f(aciendum) c(uravit) idemque IIvir p(robavit?),Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,architectural member,building/dedicatory inscription,Unknown,37.939865,22.928467,14 AD , 37 AD,14.0,37.0
HD026610,Cn(aeus) Babbius Philinus / Neptuno sacr(um),Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,block,votive inscription,Unknown,37.939865,22.928467,14 AD , 37 AD,14.0,37.0
HD026613,P(ublio) Caninio Alexiadae / f(ilio) Agrippae procur(atori) Caesa[r(is)] / Aug(usti) provinc(iae) Achaiae / Grania Quinta / bene de se(!) m&lt;e=I&gt;l&lt;e=I&gt;to(!) ,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,base,honorific inscription,Unknown,37.939865,22.928467,30 BC , 14 AD,-30.0,14.0
HD026616,[P(ublio) Ca]ninio Alexiad(ae) f(ilio) Co(rnelia) / [Agripp]ae procur(atori) Caesar(is) / [Aug(usti) prov(inciae)] Achaiae / [---]b(---) Strab(o) D(---) patron(o),Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,block,honorific inscription,Unknown,37.939865,22.928467,30 BC , 14 AD,-30.0,14.0
HD026619,Q(uinto) Cispuleio / Q(uinti) f(ilio) Aem(ilia) / Theophilo / decurionalibus / et aediciliis ornament(is) d(ecreto) d(ecurionum) honorato / Q(uintus) Cispul[ei]u[s Pri]mu[s] / [------,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,base,honorific inscription,Unknown,37.939865,22.928467,1 AD , 50 AD,1.0,50.0
HD026622,Ti(berio) Claudio / Ti(beri) Claudi / Hipparchi f(ilio) / Quir(ina) Attico / praetoriis / ornament(is) / ornato ex s(enatus) c(onsulto) / [---]lius / [---]tus / [------,Achaia,Greece,Colonia Laus Iulia Corinthus,KÃ³rinthos,base,honorific inscription,Unknown,37.908720576,22.884521687,96 AD , 98 AD,96.0,98.0
HD026646,------] / C(?)[---] / circitor d[e] / vixillatio/ne(!) XII[I](?) Cata/fractari(orum) quae(?) [e?]/s(t?) Trimam(m)io vi/xit annis XXXIII / [milita]vit XII[---]V[-?] / [------,Moesia inferior,Romania,Istrus,Istria,stele,epitaph,Unknown,44.5464683,28.77272012,301 AD , 400 AD,301.0,400.0
HD026835,Imp(eratori) Caesari Lucio / Septimio Severo / Pertinaci Aug(usto) pont(ifici) / max(imo) trib(unicia) pot(estate) II imp(eratori) III / co(n)s(uli) II proco(n)s(uli) p(atri) p(atriae) / optim[o] fortissim[o] / providentissimoqu[e] / principi ex arg(enti) p(ondo) X / D(ecimo) Iulio Celso / [---] Petronio Nigro / IIv(iris) d(ecreto) d(ecurionum),Lusitania,Spain,Norba,CÃ¡ceres,Unknown,Unknown,Unknown,39.47649,-6.37224,Unknown,Unknown,164.0,379.0
HD026859,Imp(eratore) Caesare Ne(rva) / [Tra]e(iano)(!) Au(gusto) Ger(manico) IIII / [et Q(uinto)] Articuleio / [co(n)s(ulibus) a(nte) d(iem)] VI K(alendas) Apriles / [d]escriptum et re/[cognitum] ex conmentario(!) / [- V]e[r]ginii [P]ub[l]iani iudicis / dati [ab imp]er[at]ore / Traeiano(!) quod protu[li]t / C. Aelius Niger in quo sc/riptum erat id q(uod) i(nfra) s(criptum) f(uit) cum / [p]robatum sit mihi in stela lap/idea quae posita est in for/o Dolichanorum inscriptos / esse fenes(!) conveniente/s defini&lt;t=I&gt;ioni regiae factae / ab Amynta Philippi patrae(!) in/ter Dolichanos et Elemi/otas p&lt;l=I&gt;acet finem esse a ter/mino qui est in via supra / Geranas inter Azzoris e[t] / Onoareas et Petraeas [in] / Dolichis per summa iug[a] / [a]t(!) canpum(!) qui Pronom[ae] / [v]ocatur ita ut canpus(!) in [pa]/rte sit Elemiotarum e[t per] / summa iuga at [Vene]/[ris] fa[n]u[m] ,Macedonia,Greece,Olooson,ElassÃ³n,stele,public legal inscription,Unknown,39.89278,22.215714999,27. 3. 101 AD,Unknown,27.0,358.0
HD027356,[[Dedic[ata] VI K(alendas) O[ctob(res)]]] / [[d(omino) n(ostro) Claudio Aug(usto)]] / [[[et P]a[terno] co(n)[s(ulibus)]]] // D(omino) n(ostro) Fl(avio) Iul(io) Constanti / nobilissimo ac / fortissimo Caes(ari) / Rupilius Pisonianus v(ir) c(larissimus) / praefectus vigilum / d(evotus) n(umini) m(aiestati)q(ue) eius,Roma,Italy,Roma,Roma,statue base,Unknown,Unknown,41.895466,12.482324,333 AD , 337 AD,333.0,337.0
HD027380,Ti(berius) Claudius / Drusi f(ilius) Caisar / Aug(ustus) Germanicus / pont(ifex) max(imus) trib(unicia) pot(estate) / VIIII imp(erator) XVI co(n)s(ul) IIII / censor p(ater) p(atriae) / auctis populi Romani / finibus pomerium ampliavit terminavitq(ue) // Pomerium // CXXXIX,Roma,Italy,Roma,Roma,cippus,boundary inscription,Unknown,41.895466,12.482324,49 AD,Unknown,49.0,293.0
HD027768,Marti Gradivo quem aput(!) leg(ionem) VII Cl(audiam) / tempore quo ad eradendum nomen / saevissimae dominationis / missus cum vexillationes / Moesiae inferioris voltus hh(ostium) pp(ublicorum) / [de vexillis et can]tabris / [ultro detra]here nollent / [auctores im]prosperi conatus / [coercerat?] congressione / [facta prima] in acie constitutus / [invocave]rat Clodius Celsinus / [signum quod in be]llo voverat [--- posuit?],Pannonia inferior,Hungary,Aquincum,Budapest,statue base,votive inscription,Stone,47.48369937,19.05133621,238 AD , 249 AD,238.0,249.0
HD027774,[Imp(eratore) C(aesare) Fl(avio) Val(erio) Con]/[sta]nt[ino Aug(usto) et] / [Ca]ess(aribus) b(eatissimis?) [no(bilissimis)? a Suc(idava)] / m(ille) p(assuum) I,Dacia,Romania,Sucidava,Corabia,milestone,milestone,Stone,43.76883,24.4565043,326 AD , 333 AD,326.0,333.0
HD027825,A(ulus) Hirtuleius / Asiaticus / Aesculapio,Epirus,Albania,Buthrotum,Ksamil,cippus,votive inscription,Stone,39.745734046,20.021196921,1 AD , 100 AD,1.0,100.0
HD027828,Q(uintus) Trebonius [---] / dec(urio) Buthrot(i) m[---] / annal(is?) incol(is?) f[---] / Iunia A(uli) l(iberta) Amm[---] / de suo fecit [---] / [------] / [------,Epirus,Albania,Unknown,Fitore,tabula,epitaph,Stone,39.86417,20.11,30 BC , 30 AD,-30.0,30.0
HD027831,[--- volu]ntas mea et rata post [---]/[---]m meam in qua puteus e[---] / [---]tis viri mei volo ita u[t ---] / [violam] et rosam ad monim[entum] / [---]nt inpensam consu[mma---] / [---] neve ea taberna aut [---] / [---] serviant [---],Epirus,Albania,Buthrotum,Ksamil,tabula,private legal inscription,Stone,39.745734046,20.021196921,51 AD , 200 AD,51.0,200.0
HD028326,[---]I(?)e/las Biti / qui sac/erdos / vixit a/nnis LX / Mucapu/ius Diz(a)e / marit[o] / op(timo) b(ene) m(erenti) [p(osuit)?] / l(ibens) m(erito) [--](?),Moesia inferior,Bulgaria,Unknown,Äerven Brjag,stele,epitaph,Unknown,43.329866261,24.06632436,151 AD , 300 AD,151.0,300.0
HD028396,T(ito) Aurelio T(iti) fil(io) Papir(ia) / Flavino primipilari / et principi ordinis col(oniae) / Oesc(ensium) et buleutae civitatiu[m] / Tyranorum Dionysiopol(itanorum) / Marcianopol(itanorum) Tungroru[m] / et Aquincensium patron[o] / collegi(i) fabr(um) honorat[o] / a divo Magno Antonino / Aug(usto) HS L milia n(ummum) et XXV / gradum promotionis / [ob] alacritatem virtu[tis] / [adv]ersus hostes Ge[tas] / [e]t res prospere Ty[rae ges]/tas Cl(audius) Nicom[edes] / buleuta civitatis [Tyra]/norum amico dign[issimo] / l(ocus) d(atus) d(ecreto) d(ecurionum),Moesia inferior,Bulgaria,Oescus,Guljanci,altar,honorific inscription,Unknown,43.710128078,24.466098424,218 AD , 230 AD,218.0,230.0
HD028542,[Soli Invic]to milites / [---]us / [---]esarcus,Achaia,Greece,Colonia Augusta Aroe Patrae,PÃ¡trai,base,votive inscription,Unknown,38.251123,21.741943,101 AD , 300 AD,101.0,300.0
HD028563,Optime Maxime con(serva) // nume/rum / omni/um // milit/anti/[um],Germania superior,Germany,Unknown,Taunusstein,instrumentum militare,acclamation,Metals,50.189676389,8.2033753395,115 AD , 260 AD,115.0,260.0
HD029460,[---] Piceno sig(nifero) coh(ortis) V pr(aetoriae?) // [---] aedil(i) / [---] IIvir(o) / [---]e / [---]VCOS per / [---]ios mul/[---]ior quam / [---] vixi / [---] debet vita / [---]nt aliqui / [---] opto ne / [---]us nostris / [---]te poena / [--- viator perlecto?] titulo vade,Macedonia,Greece,Dion,Caritza,sarcophagus,epitaph,Unknown,40.177012,22.491299,131 AD , 170 AD,131.0,170.0
